,DateTime,Day,Phase,Minutes,Tank,Temperature,Treatment
1,6/10/17 00:00,6/10/17,Conditioning,0,Tank 13,25.5,Cool
2,6/10/17 00:00,6/10/17,Conditioning,0,Tank 14,27.3,Ambient
3,6/10/17 00:00,6/10/17,Conditioning,0,Tank 15,27.1,Ambient
4,6/10/17 00:00,6/10/17,Conditioning,0,Tank 16,27.1,Ambient
5,6/10/17 00:00,6/10/17,Conditioning,0,Tank 17,25.6,Cool
6,6/10/17 00:00,6/10/17,Conditioning,0,Tank 18,27.1,Ambient
7,6/10/17 00:00,6/10/17,Conditioning,0,Tank 19,25.5,Cool
8,6/10/17 00:00,6/10/17,Conditioning,0,Tank 20,25.6,Cool
9,6/10/17 00:00,6/10/17,Conditioning,0,Tank 21,27.2,Ambient
10,6/10/17 00:00,6/10/17,Conditioning,0,Tank 22,27.2,Ambient
11,6/10/17 00:00,6/10/17,Conditioning,0,Tank 23,25.9,Cool
12,6/10/17 00:00,6/10/17,Conditioning,0,Tank 24,25.6,Cool
13,6/10/17 00:15,6/10/17,Conditioning,15,Tank 13,25.5,Cool
14,6/10/17 00:15,6/10/17,Conditioning,15,Tank 14,27.2,Ambient
15,6/10/17 00:15,6/10/17,Conditioning,15,Tank 15,27.2,Ambient
16,6/10/17 00:15,6/10/17,Conditioning,15,Tank 16,27.2,Ambient
17,6/10/17 00:15,6/10/17,Conditioning,15,Tank 17,25.7,Cool
18,6/10/17 00:15,6/10/17,Conditioning,15,Tank 18,27.1,Ambient
19,6/10/17 00:15,6/10/17,Conditioning,15,Tank 19,25.5,Cool
20,6/10/17 00:15,6/10/17,Conditioning,15,Tank 20,25.5,Cool
21,6/10/17 00:15,6/10/17,Conditioning,15,Tank 21,27.1,Ambient
22,6/10/17 00:15,6/10/17,Conditioning,15,Tank 22,27.1,Ambient
23,6/10/17 00:15,6/10/17,Conditioning,15,Tank 23,25.9,Cool
24,6/10/17 00:15,6/10/17,Conditioning,15,Tank 24,25.6,Cool
25,6/10/17 00:30,6/10/17,Conditioning,30,Tank 13,25.5,Cool
26,6/10/17 00:30,6/10/17,Conditioning,30,Tank 14,27.1,Ambient
27,6/10/17 00:30,6/10/17,Conditioning,30,Tank 15,27.1,Ambient
28,6/10/17 00:30,6/10/17,Conditioning,30,Tank 16,27.1,Ambient
29,6/10/17 00:30,6/10/17,Conditioning,30,Tank 17,25.5,Cool
30,6/10/17 00:30,6/10/17,Conditioning,30,Tank 18,27.2,Ambient
31,6/10/17 00:30,6/10/17,Conditioning,30,Tank 19,25.5,Cool
32,6/10/17 00:30,6/10/17,Conditioning,30,Tank 20,25.4,Cool
33,6/10/17 00:30,6/10/17,Conditioning,30,Tank 21,27.1,Ambient
34,6/10/17 00:30,6/10/17,Conditioning,30,Tank 22,27.2,Ambient
35,6/10/17 00:30,6/10/17,Conditioning,30,Tank 23,26,Cool
