Plug,Spat,Sample,Polyps,Area,
A045,a,A045a,11,10.238,
A052,a,A052a,2,1.779,
A052,b,A052b,2,1.901,
A052,c,A052c,6,4.19,
A052,d,A052d,4,3.837,
A052,e,A052e,3,3.557,
A052,f,A052f,4,3.69,
A058,a,A058a,2,2.578,
A058,b,A058b,7,6.942,
A058,c,A058c,2,2.282,
A058,d,A058d,6,8.481,
A058,e,A058e,1,1.654,
A070,a,A070a,10,10.552,
A083,a,A083a,4,4.403,
A083,b,A083b,6,6.219,
A083,c,A083c,3,2.039,
A084,a,A084a,3,3.03,
A084,b,A084b,4,3.391,
A084,c,A084c,8,8.529,
A084,d,A084d,1,1.137,
A092,a,A092a,4,4.174,
A092,b,A092b,1,0.905,
A110,a,A110a,6,5.139,
A110,b,A110b,8,7.4,
A110,c,A110c,10,14.662,
A113,a,A113a,2,2.313,
A113,c,A113c,1,1.41,
A113,d,A113d,2,2.418,
A113,e,A113e,7,4.549,
A119,a,A119a,11,22.293,
A126,a,A126a,10,9.266,
A139,a,A139a,7,6.859,
A139,b,A139b,3,3.875,
A139,c,A139c,4,5.328,
A140,a,A140a,6,5.621,
A140,b,A140b,6,4.945,
A163,a,A163a,8,8.732,
A180,a,A180a,5,4.059,
A180,b,A180b,2,3.315,
A180,c,A180c,7,3.521,
A283,a,A283a,10,7.759,
A283,b,A283b,3,3.5,
A283,c,A283c,2,2.081,
A283,d,A283d,3,4.305,
A307,a,A307a,5,7.519,
A307,b,A307b,4,4.3,
A307,c,A307c,4,3.812,
A307,d,A307d,6,7.25,
A319,a,A319a,6,7.484,
A319,b,A319b,3,2.383,
A319,c,A319c,6,4.029,
A333,a,A333a,15,11.726,
A333,b,A333b,3,2.873,
A336,a,A336a,6,6.887,
A336,b,A336b,1,0.549,
A336,c,A336c,5,7.838,
A336,d,A336d,1,1.267,
A336,e,A336e,1,1.785,
A348,a,A348a,2,1.921,
A348,b,A348b,2,1.895,
A349,a,A349a,3,4.468,
A349,b,A349b,3,2.513,
A349,c,A349c,2,2.709,
A349,d,A349d,2,2.46,
A357,a,A357a,4,3.042,
A361,a,A361a,5,5.234,
A361,b,A361b,3,2.123,
A368,a,A368a,10,11.239,
A368,b,A368b,4,4.795,
A395,a,A395a,8,8.859,
