DateTime,DayOfMonth,#YY,DisplayMM,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
6/8/2017 0:00,8 0:00,2017,6,3,8,0,0,346,2.7,3.6,99,99,99,999,1014.2,23.3,24.5,999,99,99
6/8/2017 0:06,8 0:06,2017,6,3,8,0,6,355,2.2,3.2,99,99,99,999,1014.1,23.3,24.5,999,99,99
6/8/2017 0:12,8 0:12,2017,6,3,8,0,12,4,3.4,4.3,99,99,99,999,1014,23.2,24.5,999,99,99
6/8/2017 0:18,8 0:18,2017,6,3,8,0,18,27,2.2,3.7,99,99,99,999,1013.9,23.2,24.6,999,99,99
6/8/2017 0:24,8 0:24,2017,6,3,8,0,24,18,0.8,2,99,99,99,999,1013.8,23.6,24.6,999,99,99
6/8/2017 0:30,8 0:30,2017,6,3,8,0,30,10,2,2.6,99,99,99,999,1013.7,23.4,24.6,999,99,99
6/8/2017 0:36,8 0:36,2017,6,3,8,0,36,9,2.5,2.9,99,99,99,999,1013.7,23.3,24.6,999,99,99
6/8/2017 0:42,8 0:42,2017,6,3,8,0,42,13,1.9,3.2,99,99,99,999,1013.8,23.4,24.6,999,99,99
6/8/2017 0:48,8 0:48,2017,6,3,8,0,48,28,1.4,2.5,99,99,99,999,1013.7,23.5,24.6,999,99,99
6/8/2017 0:54,8 0:54,2017,6,3,8,0,54,357,2.7,3.1,99,99,99,999,1013.7,23.5,24.6,999,99,99
6/8/2017 1:00,8 1:00,2017,6,3,8,1,0,339,1.9,2.8,99,99,99,999,1013.9,24,24.7,999,99,99
6/8/2017 1:06,8 1:06,2017,6,3,8,1,6,5,2.4,3.2,99,99,99,999,1013.8,23.5,24.7,999,99,99
6/8/2017 1:12,8 1:12,2017,6,3,8,1,12,2,2.1,2.6,99,99,99,999,1013.9,23.6,24.7,999,99,99
6/8/2017 1:18,8 1:18,2017,6,3,8,1,18,1,2,2.6,99,99,99,999,1013.9,23.6,24.7,999,99,99
6/8/2017 1:24,8 1:24,2017,6,3,8,1,24,4,2.2,3.1,99,99,99,999,1013.9,23.5,24.7,999,99,99
6/8/2017 1:30,8 1:30,2017,6,3,8,1,30,358,1.8,2.8,99,99,99,999,1013.9,23.6,24.7,999,99,99
6/8/2017 1:36,8 1:36,2017,6,3,8,1,36,346,2.8,3.2,99,99,99,999,1013.9,23.6,24.7,999,99,99
6/8/2017 1:42,8 1:42,2017,6,3,8,1,42,353,2.9,3.6,99,99,99,999,1014,23.6,24.7,999,99,99
6/8/2017 1:48,8 1:48,2017,6,3,8,1,48,5,1.7,3.3,99,99,99,999,1014,23.3,24.7,999,99,99
6/8/2017 1:54,8 1:54,2017,6,3,8,1,54,3,2.1,3,99,99,99,999,1014.1,23.6,24.7,999,99,99
6/8/2017 2:00,8 2:00,2017,6,3,8,2,0,9,2.3,3.5,99,99,99,999,1014.1,23.4,24.7,999,99,99
6/8/2017 2:06,8 2:06,2017,6,3,8,2,6,347,2.3,3.3,99,99,99,999,1014.2,23.4,24.7,999,99,99
6/8/2017 2:12,8 2:12,2017,6,3,8,2,12,360,2.2,3.2,99,99,99,999,1014.3,23.3,24.7,999,99,99
6/8/2017 2:18,8 2:18,2017,6,3,8,2,18,351,2.6,3.2,99,99,99,999,1014.3,23.4,24.7,999,99,99
6/8/2017 2:24,8 2:24,2017,6,3,8,2,24,346,3.2,4.3,99,99,99,999,1014.4,23.4,24.7,999,99,99
6/8/2017 2:30,8 2:30,2017,6,3,8,2,30,7,2.9,3.6,99,99,99,999,1014.4,23.4,24.7,999,99,99
6/8/2017 2:36,8 2:36,2017,6,3,8,2,36,349,3,3.8,99,99,99,999,1014.4,23.4,24.7,999,99,99
6/8/2017 2:42,8 2:42,2017,6,3,8,2,42,10,2.9,3.4,99,99,99,999,1014.4,23.3,24.7,999,99,99
6/8/2017 2:48,8 2:48,2017,6,3,8,2,48,350,3.5,3.9,99,99,99,999,1014.5,23.3,24.8,999,99,99
6/8/2017 2:54,8 2:54,2017,6,3,8,2,54,355,3.2,4.1,99,99,99,999,1014.5,23.3,24.8,999,99,99
6/8/2017 3:00,8 3:00,2017,6,3,8,3,0,354,3.2,4,99,99,99,999,1014.6,23.4,24.8,999,99,99
6/8/2017 3:06,8 3:06,2017,6,3,8,3,6,359,3.1,4,99,99,99,999,1014.7,23.3,24.8,999,99,99
6/8/2017 3:12,8 3:12,2017,6,3,8,3,12,355,3.2,4.3,99,99,99,999,1014.7,23.3,24.8,999,99,99
6/8/2017 3:18,8 3:18,2017,6,3,8,3,18,356,2.8,3.6,99,99,99,999,1014.8,23.3,24.8,999,99,99
6/8/2017 3:24,8 3:24,2017,6,3,8,3,24,336,2.8,3.7,99,99,99,999,1014.8,23.4,24.8,999,99,99
6/8/2017 3:30,8 3:30,2017,6,3,8,3,30,350,2.6,4.1,99,99,99,999,1014.8,23.4,24.8,999,99,99
6/8/2017 3:36,8 3:36,2017,6,3,8,3,36,344,3.1,4.1,99,99,99,999,1014.8,23.4,24.8,999,99,99
6/8/2017 3:42,8 3:42,2017,6,3,8,3,42,340,3.5,4.3,99,99,99,999,1014.9,23.6,24.8,999,99,99
6/8/2017 3:48,8 3:48,2017,6,3,8,3,48,345,4.3,4.8,99,99,99,999,1015,23.4,24.8,999,99,99
6/8/2017 3:54,8 3:54,2017,6,3,8,3,54,359,4,4.8,99,99,99,999,1015,23.3,24.8,999,99,99
6/8/2017 4:00,8 4:00,2017,6,3,8,4,0,356,4.1,4.8,99,99,99,999,1015,23.3,24.8,999,99,99
6/8/2017 4:06,8 4:06,2017,6,3,8,4,6,352,3.8,5.2,99,99,99,999,1014.9,23.3,24.8,999,99,99
6/8/2017 4:12,8 4:12,2017,6,3,8,4,12,338,3.1,4.6,99,99,99,999,1015,23.2,24.8,999,99,99
6/8/2017 4:18,8 4:18,2017,6,3,8,4,18,358,4,4.4,99,99,99,999,1015.1,23.3,24.8,999,99,99
